00024ea8,64,0,0,0.2,0.2,0.3,1
001757c2,33,0,0,0.25,0.25,0.2,1
001ac628,56,1,0,1,1,1,1
002ac912,59,1,0,1,1,1,1
0038e226,32,0,0,0.75,0.75,0.2,1
0057b0e5,40,0,0,0.833333333333333,0.833333333333333,0.833333333333333,4
005c93b6,27,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1
005e8dba,34,1,0,1,1,1,1
006daab9,33,1,0,1,1,1,1
006e404b,65,1,0,1,1,1,1
0076c4bc,32,1,0,1,1,1,1
007dc09a,26,0,0,1,1,1,3
008791f5,34,1,0,1,1,1,1
0089c6ed,36,0,0,0.75,0.75,0.75,1
0090ecf3,34,1,1,1,1,1,1
00954010,35,1,0,1,1,1,1
00a95768,37,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
00afb090,25,1,0,1,1,1,1
00bccd6d,29,0,0,0.2,0.2,0.2,1
00bd76af,26,0,0,0.25,0.25,0.5,1
00c14333,27,0,0,0.666666666666667,0.666666666666667,0.666666666666667,1
00c2273d,80,0,0,0,0.928571428571429,0.785714285714286,2
00d789e9,25,0,0,0,0,0,1
00e121e4,66,1,0,1,1,1,1
00e2d727,27,1,0,1,1,1,1
00e7be97,25,0,0,0.5,0.5,0.5,1
00ebe611,31,0,0,1,1,0.8,1
0111c2b3,57,1,0,1,1,1,1
011aed0d,64,0.2,0,0.333333333333333,0.333333333333333,0.4,1
01283220,32,1,0,1,1,1,1
012b2595,60,0,0,0.3,0.3,0.7,1
013a790b,35,0,0,0.5,0.5,1,1
013defd5,47,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,1
0147e8d3,34,1,0,1,1,1,1
014ec7a6,53,1,0,1,1,1,1
0155216d,33,0,0,0.75,0.75,0.75,1
015902ea,27,0,0,1,1,0.5,1
0159d661,30,0,0,0,0,NA,NA
015ddc22,48,1,0,1,1,1,1
018d51b1,58,1,0,1,1,1,1
019176d1,65,0,0,0.272727272727273,0.272727272727273,0.363636363636364,1
0194848c,34,0,0,0,0,0.8,1
01b8a291,35,0,0,0.666666666666667,0.666666666666667,0.666666666666667,1
01c3f2cb,58,0,0,0.7,0.7,0.5,1
01c65de1,33,1,0,1,1,1,1
01c9537a,52,0.75,0.75,0.875,0.875,0.875,1
01e1f3a9,33,0,0,0.8,0.8,0.8,1
01e56501,25,0,0,0.4,0.4,0.2,1
01e5d216,41,0,0,0.142857142857143,0.142857142857143,0.142857142857143,3
01e60d92,33,0,0,0,0,0.2,1
01eb2870,51,0,0,0.75,0.75,0.75,1
01eca7e4,26,0,0,0.25,0.25,0.5,1
02017000,57,1,0,1,1,1,1
020719b6,58,0,0,0.25,0.25,0.625,1
02351a85,28,0.25,0,0.25,0.25,0.75,1
023b236d,38,0,0,0.75,0.75,0.75,1
024035a3,54,0,0,0.375,0.375,0.375,1
0244a57d,49,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,1
0250bac1,35,0,0.4,1,1,0.8,1
0252b8b0,29,1,0,1,1,1,1
02583ca8,32,0,0,0.6,0.6,0.6,1
02608f89,66,0,0,0.916666666666667,0.916666666666667,0.916666666666667,1
0260ac1c,48,1,0,1,1,1,1
02610fd8,47,1,0,1,1,1,1
0263acb2,34,1,0,1,1,1,1
02688193,63,0.0909090909090909,0.0909090909090909,0.363636363636364,0.363636363636364,0.363636363636364,1
026a085b,26,0,0,1,1,0,NA
027240b7,27,1,0,1,1,1,1
02724592,37,0,0,1,1,0.833333333333333,1
0280b25d,88,1,0,0,1,1,1
028ea70d,31,0,0,1,1,1,1
0291156d,55,1,0,1,1,1,1
02a9ea02,34,0.5,0,0.75,0.75,0.75,1
